trade_id,exit_id,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf
T001342,underlying_invalidation_eod,4,True,True,True,False,False,False
T001344,underlying_invalidation_eod,11,True,True,True,False,False,False
T001346,underlying_invalidation_eod,8,True,True,True,False,False,False
T001350,underlying_invalidation_eod,12,True,True,False,True,True,True
T001352,underlying_invalidation_eod,8,True,True,True,False,False,False
T001358,underlying_invalidation_eod,8,True,True,True,False,False,False
T001359,underlying_invalidation_eod,11,True,True,True,False,False,False
T001364,underlying_invalidation_eod,5,True,False,True,False,False,False
T001371,underlying_invalidation_eod,12,True,True,False,True,True,True
T001360,underlying_invalidation_eod,8,True,True,True,False,False,False
T001373,underlying_invalidation_eod,9,True,False,True,False,False,False
T001366,underlying_invalidation_eod,8,True,True,True,False,False,False
T001370,underlying_invalidation_eod,8,True,True,True,False,False,False
T001362,underlying_invalidation_eod,12,True,True,False,True,True,True
T001361,underlying_invalidation_eod,4,True,True,True,False,False,False
T001375,underlying_invalidation_eod,8,True,True,True,False,False,False
T001367,underlying_invalidation_eod,8,True,True,True,False,False,False
T001363,underlying_invalidation_eod,8,True,True,True,False,False,False
T001374,underlying_invalidation_eod,9,True,False,True,False,False,False
T001365,underlying_invalidation_eod,12,True,True,False,True,True,True
T001368,underlying_invalidation_eod,12,True,True,False,True,True,True
T001369,underlying_invalidation_eod,12,True,True,False,True,True,True
T001372,underlying_invalidation_eod,9,True,False,True,False,False,False
T001383,underlying_invalidation_eod,4,True,True,True,False,False,False
T001387,underlying_invalidation_eod,2,True,True,False,True,True,False
T001380,underlying_invalidation_eod,4,True,True,True,False,False,False
T001376,underlying_invalidation_eod,8,True,True,True,False,False,False
T001388,underlying_invalidation_eod,5,True,False,True,False,False,False
T001389,underlying_invalidation_eod,8,True,True,True,False,False,False
T001381,underlying_invalidation_eod,4,True,True,True,False,False,False
T001384,underlying_invalidation_eod,4,True,True,True,False,False,False
T001377,underlying_invalidation_eod,8,True,True,True,False,False,False
T001378,underlying_invalidation_eod,8,True,True,True,False,False,False
