exit_id,setup_id,symbol,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions
fixed_60m,inclusion,AAPL,173,472,472,0,193,269,10,0.4088983050847458,7759.0,-9893.0,0.7842919235823309,-2134.0,-4.521186440677966,-1.2635981749971643,-2.744851833249623,97866.0,-2.1340000000000003,2468.0,2.4597843203699643,57.29479768786127
fixed_60m,inclusion,NVDA,180,571,571,0,237,315,19,0.415061295971979,10905.0,-12855.0,0.8483080513418904,-1950.000000000001,-3.4150612959719804,-0.437457578444225,-2.4691358024691357,98050.0,-1.950000000000001,2935.0,2.907379891035166,66.61666666666666
fixed_60m,inclusion,QQQ,208,699,699,0,295,398,6,0.4220314735336195,21093.0,-24685.0,0.8544865302815475,-3592.0000000000005,-5.138769670958513,-1.0960629348365816,-3.1161473087818803,96408.0,-3.5920000000000005,6151.0,6.132785626688735,70.57211538461539
fixed_60m,inclusion,SPY,207,656,656,0,289,362,5,0.4405487804878049,17490.0,-19945.0,0.876911506643269,-2455.0000000000005,-3.7423780487804885,-0.9570118979193197,-2.3064313010248414,97545.0,-2.4550000000000005,4403.0,4.389699211389489,66.55072463768116
fixed_60m,inclusion,TSLA,180,666,666,0,303,354,9,0.45495495495495497,38200.0,-35781.0,1.067605712528996,2418.999999999999,3.632132132132131,0.25504070795771244,-2.065367827105291,102419.0,2.4189999999999987,4347.0,4.231027535258563,77.7
fixed_60m,exclusion,AAPL,73,111,111,0,48,63,0,0.43243243243243246,2150.0,-2561.0,0.8395158141351035,-410.99999999999983,-3.7027027027027013,-0.1689805072556303,-3.1746031746031633,99589.0,-0.4109999999999998,959.0,0.9537733221943747,31.93150684931507
fixed_60m,exclusion,NVDA,53,72,72,0,30,38,4,0.4166666666666667,1865.0000000000002,-1311.9999999999998,1.4214939024390247,553.0000000000005,7.680555555555562,3.719556860753554,-2.6260211197449648,100553.0,0.5530000000000005,465.0,0.4628016919631749,28.528301886792452
fixed_60m,exclusion,QQQ,98,133,133,0,70,60,3,0.5263157894736842,3907.0,-2918.0,1.3389307745030843,988.9999999999998,7.436090225563908,2.1438827855752804,1.1406844106463865,100989.0,0.9889999999999998,735.0,0.7267657441191302,28.5
fixed_60m,exclusion,SPY,106,147,147,0,79,67,1,0.5374149659863946,3655.0,-2795.0,1.3076923076923077,859.9999999999997,5.850340136054419,1.4427840685912676,1.086956521739113,100860.0,0.8599999999999997,438.0,0.4354093145782593,29.12264150943396
fixed_60m,exclusion,TSLA,74,103,103,0,51,50,2,0.49514563106796117,6085.0,-4604.0,1.321676802780191,1480.9999999999998,14.378640776699028,2.33026384565246,0.0,101481.0,1.4809999999999999,1561.0,1.5314581718647293,29.22972972972973
fixed_60m,combined,AAPL,73,111,111,0,48,63,0,0.43243243243243246,2150.0,-2561.0,0.8395158141351035,-410.99999999999983,-3.7027027027027013,-0.1689805072556303,-3.1746031746031633,99589.0,-0.4109999999999998,959.0,0.9537733221943747,31.93150684931507
fixed_60m,combined,NVDA,53,72,72,0,30,38,4,0.4166666666666667,1865.0000000000002,-1311.9999999999998,1.4214939024390247,553.0000000000005,7.680555555555562,3.719556860753554,-2.6260211197449648,100553.0,0.5530000000000005,465.0,0.4628016919631749,28.528301886792452
fixed_60m,combined,QQQ,98,133,133,0,70,60,3,0.5263157894736842,3907.0,-2918.0,1.3389307745030843,988.9999999999998,7.436090225563908,2.1438827855752804,1.1406844106463865,100989.0,0.9889999999999998,735.0,0.7267657441191302,28.5
